-------------------------------------------------
JAM fits - from Pedro Jimenez-Delgado - July 2014
-------------------------------------------------
       Neutron's g2 structure function
-------------------------------------------------

      xB         g2         dg2       g2HT       dg2HT   
   0.501187   0.007326   0.001987   0.000086   0.004191
   0.515229   0.006791   0.002065   0.000026   0.004108
   0.529663   0.006227   0.002140  -0.000033   0.004023
   0.544503   0.005640   0.002208  -0.000092   0.003933
   0.559758   0.005035   0.002267  -0.000149   0.003838
   0.575440   0.004420   0.002312  -0.000203   0.003734
   0.591562   0.003803   0.002340  -0.000253   0.003620
   0.608135   0.003192   0.002347  -0.000297   0.003494
   0.625173   0.002598   0.002332  -0.000334   0.003353
   0.642688   0.002029   0.002291  -0.000363   0.003195
   0.660693   0.001496   0.002222  -0.000383   0.003019
   0.679204   0.001008   0.002124  -0.000393   0.002822
   0.698232   0.000574   0.001997  -0.000393   0.002604
   0.717794   0.000203   0.001843  -0.000382   0.002365
   0.737904  -0.000098   0.001662  -0.000361   0.002108
   0.758578  -0.000326   0.001461  -0.000331   0.001836
   0.779830  -0.000477   0.001243  -0.000293   0.001553
   0.801678  -0.000553   0.001018  -0.000248   0.001267
   0.824138  -0.000559   0.000793  -0.000200   0.000987
   0.847227  -0.000507   0.000580  -0.000151   0.000723
   0.870964  -0.000409   0.000390  -0.000104   0.000487
   0.895365  -0.000288   0.000231  -0.000063   0.000290
   0.920450  -0.000166   0.000113  -0.000032   0.000143
   0.946237  -0.000067   0.000040  -0.000011   0.000049
   0.972747  -0.000011   0.000006  -0.000002   0.000007
